"collection_title","article_id","title","Author","Year","hdl","doi","sort"
"Emergencies and disasters collection",9585065,"Emergency sanitation: assessment and programme design","Peter Harvey, Sohrab Baghri, Bob Reed",2002,"https://hdl.handle.net/2134/30802","",NA
"Emergencies and disasters collection",9585245,"Emergency vector control using chemicals [2nd ed.]","Christophe J. Lacarin, Bob Reed",2004,"https://hdl.handle.net/2134/30780","",NA
"Emergencies and disasters collection",9585329,"Excreta disposal in emergencies: a field manual","Peter Harvey",2007,"https://hdl.handle.net/2134/30748","",NA
"Emergencies and disasters collection",9585326,"Technical notes on drinking-water, sanitation and hygiene in emergencies","Robert Reed, Sam Godfrey, Sam Kayaga, Brian Reed, Jonathan Rouse, Julie Fisher, Karen Vilholth, Frank Odhiambo",2013,"https://hdl.handle.net/2134/14782","",NA
"Emergencies and disasters collection",9585254,"Out in the cold: emergency water supply and sanitation for cold regions [3rd ed.]","Mark Buttle, Michael Smith",2004,"https://hdl.handle.net/2134/12710","",NA
"WHO Technical Notes",27980555,"WHO Technical Note No. 15: Cleaning wells after seawater flooding","Karen Vilholth",2024,"","https://doi.org/10.17028/rd.lboro.27980555",15
"WHO Technical Notes",27980687,"WHO Technical Note No. 14: Technical options for excreta disposal","Bob Reed",2024,"","https://doi.org/10.17028/rd.lboro.27980687",14
"WHO Technical Notes",27980921,"WHO Technical Note No. 13: Planning for excreta disposal in emergencies","Bob Reed",2024,"","https://doi.org/10.17028/rd.lboro.27980921",13
"WHO Technical Notes",27981014,"WHO Technical Note No. 12: Delivering safe water by tanker","Bob Reed",2024,"","https://doi.org/10.17028/rd.lboro.27981014",12
"WHO Technical Notes",27981056,"WHO Technical Note No. 10: Hygiene promotion in emergencies","Frank Odhiambo, Bob Reed",2024,"","https://doi.org/10.17028/rd.lboro.27981056",10
"WHO Technical Notes",27984446,"WHO Technical Note No. 9: How much water is needed","Brian Reed, Bob Reed",2024,"","https://doi.org/10.17028/rd.lboro.27984446",9
"WHO Technical Notes",27984452,"WHO Technical Note No. 8: Disposal of dead bodies in emergency conditions","Julie Fisher, Bob Reed",2024,"","https://doi.org/10.17028/rd.lboro.27984452",8
"WHO Technical Notes",27984458,"WHO Technical Note No. 7: Solid waste management in emergencies","Jonathan Rouse, Bob Reed",2024,"","https://doi.org/10.17028/rd.lboro.27984458",7
"WHO Technical Notes",27984467,"WHO Technical Note No. 6: Rehabilitating water treatment works after an emergency","Brian Reed, Bob Reed",2024,"","https://doi.org/10.17028/rd.lboro.27984467",6
"WHO Technical Notes",27984470,"WHO Technical Note No. 5: Emergency treatment of drinking water at the point of use","Sam Kayaga, Bob Reed",2024,"","https://doi.org/10.17028/rd.lboro.27984470",5
"WHO Technical Notes",27984482,"WHO Technical Note No. 4: Rehabilitating small-scale piped water distribution systems","Sam Kayaga, Bob Reed",2024,"","https://doi.org/10.17028/rd.lboro.27984482",4
"WHO Technical Notes",27984485,"WHO Technical Note No. 3: Cleaning and disinfecting water storage tanks and tankers","Sam Godfrey, Bob Reed",2024,"","https://doi.org/10.17028/rd.lboro.27984485",3
"WHO Technical Notes",27984494,"WHO Technical Note No. 2: Cleaning and disinfecting boreholes","Sam Godfrey, Bob Reed",2024,"","https://doi.org/10.17028/rd.lboro.27984494",2
"WHO Technical Notes",27984503,"WHO Technical Note No. 1: Cleaning and disinfecting wells","Sam Godfrey, Bob Reed, Rod Shaw",2024,"","https://doi.org/10.17028/rd.lboro.27984503",1
"WHO Technical Notes",27981041,"WHO Technical Note No. 11: Measuring chlorine levels in water supplies","Bob Reed, Rod Shaw",2024,"","https://doi.org/10.17028/rd.lboro.27981041",11
"WEDC Guides pour l'assainissement de l'eau et l’hygiène",9582401,"G008FR: Construire avec la communaute","Bob Reed",2015,"https://hdl.handle.net/2134/31403","",NA
"WEDC Guides pour l'assainissement de l'eau et l’hygiène",9582359,"G009FR: La redaction d'un rapport: le guide","Brian Reed, Hazel Jones",2016,"https://hdl.handle.net/2134/31405","",NA
"WEDC Guides pour l'assainissement de l'eau et l’hygiène",9582116,"G011FR: Selectionner des indicateurs en eau, hygiene et assainissement","Brian Reed",2016,"https://hdl.handle.net/2134/31402","",NA
"WEDC Guides pour l'assainissement de l'eau et l’hygiène",9582068,"G013FR - Inclure la promotion de l'hygiene dans les programmes EHA","Brian Reed",2014,"https://hdl.handle.net/2134/31400","",NA
"WEDC Guides pour l'assainissement de l'eau et l’hygiène",9582020,"G010FR: Comment utiliser et citer la litterature efficacement","Brian Reed, Brian H. Skinner",2016,"https://hdl.handle.net/2134/31401","",NA
"WEDC Guides pour l'assainissement de l'eau et l’hygiène",9582155,"G006FR: Introduction au cadre logique","Kevin Sansom",2015,"https://hdl.handle.net/2134/31278","",NA
"WEDC Guides pour l'assainissement de l'eau et l’hygiène",9582089,"G007FR: Parler et faire une presentation en public","Kevin Tayler, Sue Coates, Rebecca E. Scott",2015,"https://hdl.handle.net/2134/31275","",NA
"WEDC Guides pour l'assainissement de l'eau et l’hygiène",9582209,"G001FR: Introduction a l'evaluation de l'impact visuel","Bob Reed",2015,"https://hdl.handle.net/2134/31277","",NA
"WEDC Guides pour l'assainissement de l'eau et l’hygiène",9582005,"G027FR: Latrines a fosse ventilee (VIP)","Bob Reed",2015,"https://hdl.handle.net/2134/31276","",NA
"WEDC Guides pour l'assainissement de l'eau et l’hygiène",9582053,"G030FR: Fosse septique et systeme aqua-privy","Bob Reed",2015,"https://hdl.handle.net/2134/31274","",NA
"WEDC Guides pour l'assainissement de l'eau et l’hygiène",9582080,"G005FR: Dalles de latrine: guide de l'ingenieur","Brian Reed",2015,"https://hdl.handle.net/2134/31273","",NA
"WEDC Guides pour l'assainissement de l'eau et l’hygiène",9582104,"G003FR: Dalles pour points d'eau: guide de l'ingenieur","Brian H. Skinner",2014,"https://hdl.handle.net/2134/31272","",NA
"WEDC Guides pour l'assainissement de l'eau et l’hygiène",9582041,"G018FR: La gestion de l'hygiene menstruelle a l'ecole","Tracey Crofts",2015,"https://hdl.handle.net/2134/31137","",NA
"WEDC Guides pour l'assainissement de l'eau et l’hygiène",9582062,"G004FR: Recipients d'eau a usage domestique: guide de l'ingenieur","Bob Reed",2015,"https://hdl.handle.net/2134/31140","",NA
"WEDC Guides pour l'assainissement de l'eau et l’hygiène",9582011,"G024FR: Excavation et revetements d'une fosse de latrine","Bob Reed",2015,"https://hdl.handle.net/2134/31141","",NA
"WEDC Guides pour l'assainissement de l'eau et l’hygiène",9582047,"G019FR - Plans de gestion de la securite sanitaire de l’eau","Michael D. Smith, Brian Reed",2015,"https://hdl.handle.net/2134/31138","",NA
"WEDC Guides pour l'assainissement de l'eau et l’hygiène",9582386,"G023FR: Conception de la fosse de latrine","Bob Reed",2015,"https://hdl.handle.net/2134/31139","",NA
"WEDC Guides pour l'assainissement de l'eau et l’hygiène",9582107,"G029FR: Les latrines a fosse en situations exceptionnelles","Bob Reed",2014,"https://hdl.handle.net/2134/31134","",NA
"WEDC Guides pour l'assainissement de l'eau et l’hygiène",9582095,"G028FR: Superstructures de latrine","Bob Reed",2015,"https://hdl.handle.net/2134/31136","",NA
"WEDC Guides pour l'assainissement de l'eau et l’hygiène",9582137,"G002FR: Catastrophes et situations d’urgence: definitions, impacts et reponse","Brian Reed",2014,"https://hdl.handle.net/2134/31135","",NA
"WEDC Guides pour l'assainissement de l'eau et l’hygiène",9582128,"G026FR: Latrines a eau","Brian Reed",2014,"https://hdl.handle.net/2134/31007","",NA
"WEDC Guides pour l'assainissement de l'eau et l’hygiène",9582272,"G025FR: Latrines a fosse simple","Bob Reed",2014,"https://hdl.handle.net/2134/31006","",NA
"WEDC Guides pour l'assainissement de l'eau et l’hygiène",9582119,"G020FR: Prevention de la transmission des maladies feco-orales","Bob Reed",2014,"https://hdl.handle.net/2134/31002","",NA
"WEDC Guides pour l'assainissement de l'eau et l’hygiène",9582008,"G012FR: Le Projet Sphere","Bob Reed",2014,"https://hdl.handle.net/2134/30998","",NA
NA,NA,"The Sphere Handbook: Humanitarian Charter and Minimum Standards in Humanitarian Response","Sphere Association",2018,"https://practicalactionpublishing.com/book/2048/the-sphere-handbook",NA,NA
